way_id,version,changeset,timestamp,user,uid,highway,name,surface,trail_visibility,bridge,node_ids_str,error
1227691470,4,153962274,2024-07-15T09:21:32Z,WWSS,5062752,footway,七星山步道冷水坑線,concrete,excellent,,4210082132;11384703765;4210082131;4210082129;4210082127;274939381;11384500297;11384500296,
1301449842,1,153958872,2024-07-15T07:41:32Z,WWSS,5062752,footway,七星山步道主峰-東峰稜線,sett,excellent,,274939970;12054591027,
1227691463,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,footway,七星山步道冷水坑線,sett,excellent,,274939500;274939491;12054591039;11384242806;11384242774;12054591038;4210082373;4210082375,
1227705216,1,144609695,2023-11-30T02:55:42Z,Innertia,19415963,steps,七星山步道冷水坑線,sett,excellent,,2391869945;675814623;675814622,
230730601,6,153962274,2024-07-15T09:21:32Z,WWSS,5062752,footway,,,,,2391869940;4210120226;4210120227;2391869943;4210120228;4210120229;2391869946;4210120230;4210120231;2391869948;2391869947;6856889742;12054720950;2391869944;4210120224;675814622,
1227691465,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道冷水坑線,paving_stones,excellent,,274939624;11384470359;11384470358;274939612;11384470357;4210082188;11384470356;11384470355;11384470353;11384470354;11384470350;11384470349;11384242796;11384242794;11384470346;4210082292;274939595;11384470345;274939587;11384242791;274939579;4210082293;4210082294;4210082295;274939566;12054591048;4210082298;12054591047;4210082300;11384470344;4210082301;4210082302;274939550;11384470343;11384242788;11384470342;11384242787;4210082306;11384242786;11384470341;11384470340;11384470339;4210082308;4210082312;11384242785;11384242784;274939558;4210082315;12054591046;11384470338;4210082317;274939535;4210082319;4210082321;274939542;274939519;2391869967;11384242783;4210082324;12054591044;12054591045;4210082326;11384470337;4210082327;12054591043;4210082328;4210082329;11384242782;4210082331;4210082332;4210082334;12054591041;12054591042;4210082335;11384470336;4210082337;11384470335;4210082340,
1227504496,2,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,,,,,274939942;11383003322;11383003316,
1227691461,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,footway,七星山步道冷水坑線,sett,excellent,,274939494;4210082378;4210082379;274940046;11384242770;11384242803;4210082383;11384242769;274940037;4210082387,
1227691464,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,4210082340;4210082341;11384470334;4210082343;4210082344;11384242780;11384242781;12054591040;4210082348;274939504;4210082349;2391869969;11384470333;4210082351;4210082352;2391869968;4210082354;274939507;11384242779;4210082356;4210082357;11384470332;4210082358;4210082359;4210082361;4210082365;11384242777;11384242812;11384242776;4210082368;274939500,
1227705221,1,144609695,2023-11-30T02:55:42Z,Innertia,19415963,footway,七星山步道冷水坑線,sett,excellent,,675814707;675814706;4210120209;4210120208;4210120207,
1227705222,3,153962274,2024-07-15T09:21:32Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,11384865721;5594142817;1491989120;4210120213;4210120212;12054721014;4210120211,
1227705217,2,153962274,2024-07-15T09:21:32Z,WWSS,5062752,steps,七星山步道冷水坑線,paving_stones,excellent,,675814652;4210120171;675814650;11384865706;11384865695;4210120170;4210120169;11384865694;4210120168;4210120167;675814647;4210120164;12054720945;675814644;4210120163;4210120162;4210120161;675814642;4210120159;11384865693;4210120160;2391869955;4210120158;675814639;675814637;4210120157;675814634;4210120156;4210120155;675814629;4210120153;4210120152;675814627;4210120150;675814625;11384865705;11384865692;2391869945,
421201235,12,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道主峰-東峰稜線,sett,excellent,,274940053;11384637024;4210082402;274940008;4210082403;274939998;4210082404;274940027;11383043797;12054591034;11383043796;4210082406;4210082407;4210082408;4210082409;274940018;4210082412;697170287;4210082415;12054591028;12054591029;12054591030;12054591033;12054591031;12054591032;274939970,
1227684066,4,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道主峰-東峰稜線,sett,excellent,,12054591027;4210082419;2391869976;675814743,
1227691466,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,footway,七星山步道冷水坑線,sett,excellent,,11384470363;12054591049;12054591050;4210082184;11384470361;2391869959;11384470362;4210082185;11384470360;274939624,
1227705219,2,153962274,2024-07-15T09:21:32Z,WWSS,5062752,steps,七星山步道冷水坑線,paving_stones,excellent,,675814694;4210120194;4210120193;675814683;675814655;675814653;12054720943;12054720944;4210120191;4210120192;675814680;4210120188;4210120186;4210120187;675814679;675814675;4210120185;4210120184;675814674;4210120183;675814672;4210120181;4210120180,
720961391,3,144609695,2023-11-30T02:55:42Z,Innertia,19415963,footway,七星山步道冷水坑線,sett,excellent,,2391869940;11384865687;675814616;675814613;4210120139;675814611;4210120138;1491989087,
1227705218,2,153962274,2024-07-15T09:21:32Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,4210120180;675814669;4210120179;675814668;11384865700;11384865699;675814666;4210120178;11384865710;11384865697;675814663;675814661;4210120176;4210120175;675814660;11384865709;11384865708;675814658;11384865707;4210120174;675814656;4210120173;4210120172;11384865696;675814652,
689317162,3,144609695,2023-11-30T02:55:42Z,Innertia,19415963,footway,七星山步道冷水坑線,sett,excellent,,4210120211;675814709;4210120210;675814707,
