activity_id_short,window_count,available_window_count,high_terrain_or_surface_window_count,high_terrain_or_surface_window_ratio,terrain_movement_maintenance_index_mean_0_100,high_terrain_movement_maintenance_index_mean_0_100,terrain_surface_context_group_summary,terrain_movement_attention_flag_summary,axis_support_status,interpretation_boundary,terrain_movement_efficiency_axis_index_0_100,terrain_movement_context_label
35_1,84,84,61,0.72619,53.827,53.513,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_TERRAIN_OR_SURFACE_CONTEXT:61|LOW_SPEED_WINDOW_CONTEXT:34|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:2,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",88.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
36_1,81,81,59,0.728395,41.747,38.43,LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:19|HIGH_TERRAIN_OR_SURFACE_CONTEXT:59|LOW_SPEED_WINDOW_CONTEXT:45|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:7|STOPPED_WINDOW_CONTEXT:3,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",48.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
37_1,80,80,60,0.75,36.555,36.077,LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:26|HIGH_TERRAIN_OR_SURFACE_CONTEXT:60|LOW_SPEED_WINDOW_CONTEXT:46|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:21|STOPPED_WINDOW_CONTEXT:9,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",32.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
38_1,81,81,60,0.740741,42.926,45.353,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_TERRAIN_OR_SURFACE_CONTEXT:60|LOW_SPEED_WINDOW_CONTEXT:64|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:8,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",60.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
3_1,81,81,61,0.753086,46.803,45.517,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:17|HIGH_TERRAIN_OR_SURFACE_CONTEXT:61|LOW_SPEED_WINDOW_CONTEXT:39|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:13|STOPPED_WINDOW_CONTEXT:2,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",72.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
40_1,81,81,57,0.703704,42.116,40.353,LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:24|HIGH_TERRAIN_OR_SURFACE_CONTEXT:57|LOW_SPEED_WINDOW_CONTEXT:44|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:13|STOPPED_WINDOW_CONTEXT:2,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",56.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
41_1,83,83,60,0.722892,48.705,46.051,LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:19|HIGH_TERRAIN_OR_SURFACE_CONTEXT:60|LOW_SPEED_WINDOW_CONTEXT:32|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:13|STOPPED_WINDOW_CONTEXT:2,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",80.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
42_1,84,84,62,0.738095,27.998,27.743,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:43|HIGH_TERRAIN_OR_SURFACE_CONTEXT:62|LOW_SPEED_WINDOW_CONTEXT:62|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:29|STOPPED_WINDOW_CONTEXT:7,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",12.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
43_1,84,84,65,0.77381,22.487,21.548,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:51|HIGH_TERRAIN_OR_SURFACE_CONTEXT:65|LOW_SPEED_WINDOW_CONTEXT:69|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:37|STOPPED_WINDOW_CONTEXT:16,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",4.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
44_1,80,80,61,0.7625,41.778,39.191,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:12|HIGH_TERRAIN_OR_SURFACE_CONTEXT:61|LOW_SPEED_WINDOW_CONTEXT:19|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:10|STOPPED_WINDOW_CONTEXT:4,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",52.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
45_1,81,81,62,0.765432,46.826,44.619,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:15|HIGH_TERRAIN_OR_SURFACE_CONTEXT:62|LOW_SPEED_WINDOW_CONTEXT:26|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:6|STOPPED_WINDOW_CONTEXT:1,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",76.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
46_1,84,84,60,0.714286,28.452,28.868,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:42|HIGH_TERRAIN_OR_SURFACE_CONTEXT:60|LOW_SPEED_WINDOW_CONTEXT:61|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:26|STOPPED_WINDOW_CONTEXT:7,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",16.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
48_1,84,84,62,0.738095,24.89,24.521,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:47|HIGH_TERRAIN_OR_SURFACE_CONTEXT:62|LOW_SPEED_WINDOW_CONTEXT:71|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:31|STOPPED_WINDOW_CONTEXT:14,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",8.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
8_1,84,84,60,0.714286,38.235,38.427,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:28|HIGH_TERRAIN_OR_SURFACE_CONTEXT:60|LOW_SPEED_WINDOW_CONTEXT:47|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:22|STOPPED_WINDOW_CONTEXT:3,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",40.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
9_1,81,81,61,0.753086,36.765,36.569,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:28|HIGH_TERRAIN_OR_SURFACE_CONTEXT:61|LOW_SPEED_WINDOW_CONTEXT:56|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:16|STOPPED_WINDOW_CONTEXT:2,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",36.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
