activity_id_short,terrain_movement_efficiency_axis_index_0_100,terrain_movement_maintenance_index_mean_0_100,high_terrain_movement_maintenance_index_mean_0_100,axis_support_status,terrain_movement_context_label,available_window_count,high_terrain_or_surface_window_count,high_terrain_or_surface_window_ratio,axis_id,axis_label_zh,axis_support_status_for_radar,axis_description,interpretation_boundary
35_1,88.0,53.827,53.513,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,84,61,0.72619,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
36_1,48.0,41.747,38.43,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,59,0.728395,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
37_1,32.0,36.555,36.077,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,80,60,0.75,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
38_1,60.0,42.926,45.353,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,60,0.740741,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
3_1,72.0,46.803,45.517,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,61,0.753086,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
40_1,56.0,42.116,40.353,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,57,0.703704,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
41_1,80.0,48.705,46.051,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,83,60,0.722892,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
42_1,12.0,27.998,27.743,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,84,62,0.738095,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
43_1,4.0,22.487,21.548,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,84,65,0.77381,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
44_1,52.0,41.778,39.191,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,80,61,0.7625,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
45_1,76.0,46.826,44.619,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,62,0.765432,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
46_1,16.0,28.452,28.868,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,84,60,0.714286,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
48_1,8.0,24.89,24.521,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,84,62,0.738095,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
8_1,40.0,38.235,38.427,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,84,60,0.714286,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
9_1,36.0,36.765,36.569,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,61,0.753086,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
