activity_id_short,activity_id_full,route_distance_window_start_m,route_distance_window_end_m,route_phase,point_count,route_load_context_band,route_load_context_index_0_100,route_profile_elevation_range_m,calibrated_slope_pct_p75_abs,ib2_terrain_evidence_median,ib2_effort_evidence_median,osm_exposure_types,near_steps_ratio,near_road_ratio,near_cliff_ratio,near_waterway_ratio,terrain_surface_context_flags,terrain_surface_context_group,terrain_evidence_high_context_bool,slope_or_vertical_high_context_bool,high_terrain_or_surface_context_bool,speed_mps_median,low_speed_ratio,stopped_ratio,speed_context_adjusted_index_0_100,low_speed_context_adjusted_index_0_100,stopped_context_adjusted_index_0_100,speed_context_percentile_source,low_speed_context_percentile_source,stopped_context_percentile_source,terrain_movement_component_available_bool,terrain_movement_maintenance_index_0_100,terrain_movement_attention_flags,window_qa_flags,interpretation_boundary
3_1,qixing_lengshuikeng_3_1,500,550,UNKNOWN,67,VERY_HIGH_ROUTE_LOAD_CONTEXT,81.359,14.258,,0.5,0.45,,1.0,,,,STEPS_CONTEXT,STEPS_CONTEXT,False,False,True,0.699796,0.029851,0.0,69.474,87.433,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,71.567,HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,550,600,UNKNOWN,21,MODERATE_ROUTE_LOAD_CONTEXT,48.853,3.922,,0.3,0.45,,0.761905,,,,STEPS_CONTEXT,STEPS_CONTEXT,False,False,True,0.666911,0.238095,0.0,66.038,38.309,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,55.112,HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,600,650,UNKNOWN,3,LOWER_ROUTE_LOAD_CONTEXT,6.429,0.0,,0.3,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,1.102326,0.0,0.0,68.55,83.239,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,69.567,NONE,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,700,750,UNKNOWN,6,LOWER_ROUTE_LOAD_CONTEXT,6.466,0.015,,0.3,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,0.607538,0.166667,0.0,13.559,17.232,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,22.269,LOW_SPEED_WINDOW_CONTEXT|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,800,850,UNKNOWN,35,LOWER_ROUTE_LOAD_CONTEXT,10.744,1.726,,0.3,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,1.144218,0.057143,0.0,74.011,38.795,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,58.964,NONE,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,850,900,UNKNOWN,39,LOWER_ROUTE_LOAD_CONTEXT,18.98,2.361,9.449,0.5,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,1.2122,0.0,0.0,79.661,83.239,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,75.122,NONE,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,900,950,UNKNOWN,32,LOWER_ROUTE_LOAD_CONTEXT,13.681,2.044,,0.4,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,0.914518,0.0,0.0,45.198,83.239,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,57.891,NONE,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,950,1000,UNKNOWN,48,LOWER_ROUTE_LOAD_CONTEXT,23.32,4.361,12.129,0.5,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,0.877832,0.104167,0.0,40.49,25.424,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,38.192,NONE,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1000,1050,UNKNOWN,51,MODERATE_ROUTE_LOAD_CONTEXT,36.299,10.234,,0.5,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,0.813841,0.019608,0.0,33.898,58.945,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,44.953,NONE,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1050,1100,UNKNOWN,71,MODERATE_ROUTE_LOAD_CONTEXT,48.18,11.644,45.706,0.5,0.0,,0.0,,,,SLOPE_OR_VERTICAL_HIGH_CONTEXT,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT,False,True,True,0.701546,0.126761,0.0,38.462,30.769,50.0,WITHIN_CONTEXT_GROUP:HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT,WITHIN_CONTEXT_GROUP:HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT,WITHIN_CONTEXT_GROUP:HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT,True,38.462,HIGH_TERRAIN_OR_SURFACE_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1100,1150,UNKNOWN,47,LOWER_ROUTE_LOAD_CONTEXT,14.019,1.322,,0.5,0.0,,0.0,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,1.129718,0.0,0.0,72.505,83.239,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,71.544,NONE,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1150,1200,UNKNOWN,44,LOWER_ROUTE_LOAD_CONTEXT,34.093,8.897,,0.5,0.0,,0.113636,,,,NONE,LOW_INFORMATION_MIXED_CONTEXT,False,False,False,0.895757,0.068182,0.0,42.938,35.217,51.601,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,WITHIN_CONTEXT_GROUP:LOW_INFORMATION_MIXED_CONTEXT,True,42.354,NONE,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1200,1250,UNKNOWN,68,HIGH_ROUTE_LOAD_CONTEXT,72.387,10.669,,0.5,0.45,,1.0,,,,STEPS_CONTEXT,STEPS_CONTEXT,False,False,True,0.629411,0.058824,0.0,60.04,77.999,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,64.019,HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1250,1300,UNKNOWN,51,HIGH_ROUTE_LOAD_CONTEXT,67.156,9.204,,0.5,0.45,,0.843137,,,,STEPS_CONTEXT,STEPS_CONTEXT,False,False,True,0.702273,0.098039,0.0,69.879,67.284,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,65.724,HIGH_TERRAIN_OR_SURFACE_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1300,1350,UNKNOWN,66,MODERATE_ROUTE_LOAD_CONTEXT,38.193,9.234,,0.5,0.0,,0.439394,,,,STEPS_CONTEXT,STEPS_CONTEXT,False,False,True,0.710344,0.090909,0.0,70.957,68.767,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,66.708,HIGH_TERRAIN_OR_SURFACE_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1350,1400,UNKNOWN,117,VERY_HIGH_ROUTE_LOAD_CONTEXT,100.0,22.054,,0.7,0.45,,1.0,,,,IB2_TERRAIN_HIGH_CONTEXT|SLOPE_OR_VERTICAL_HIGH_CONTEXT|STEPS_CONTEXT,STEPS_CONTEXT,True,True,True,0.285087,0.589744,0.0,13.881,5.863,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,19.299,HIGH_LOW_SPEED_RATIO_CONTEXT|HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1400,1450,UNKNOWN,114,VERY_HIGH_ROUTE_LOAD_CONTEXT,100.0,21.898,79.464,0.7,0.45,,1.0,,,,IB2_TERRAIN_HIGH_CONTEXT|SLOPE_OR_VERTICAL_HIGH_CONTEXT|STEPS_CONTEXT,STEPS_CONTEXT,True,True,True,0.414047,0.412281,0.0,27.291,17.52,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,29.501,HIGH_LOW_SPEED_RATIO_CONTEXT|HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1450,1500,UNKNOWN,95,VERY_HIGH_ROUTE_LOAD_CONTEXT,97.724,18.483,50.32875,0.7,0.45,,1.0,,,,IB2_TERRAIN_HIGH_CONTEXT|SLOPE_OR_VERTICAL_HIGH_CONTEXT|STEPS_CONTEXT,STEPS_CONTEXT,True,True,True,0.413609,0.389474,0.0,27.089,19.677,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,30.047,HIGH_LOW_SPEED_RATIO_CONTEXT|HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1500,1550,UNKNOWN,91,VERY_HIGH_ROUTE_LOAD_CONTEXT,100.0,23.761,79.922,0.7,0.45,,1.0,,,,IB2_TERRAIN_HIGH_CONTEXT|SLOPE_OR_VERTICAL_HIGH_CONTEXT|STEPS_CONTEXT,STEPS_CONTEXT,True,True,True,0.342704,0.505495,0.0,19.34,10.512,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,23.423,HIGH_LOW_SPEED_RATIO_CONTEXT|HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1550,1600,UNKNOWN,77,VERY_HIGH_ROUTE_LOAD_CONTEXT,90.62,13.747,69.36725,0.7,0.45,,1.0,,,,IB2_TERRAIN_HIGH_CONTEXT|SLOPE_OR_VERTICAL_HIGH_CONTEXT|STEPS_CONTEXT,STEPS_CONTEXT,True,True,True,0.313713,0.545455,0.0,16.307,8.457,52.999,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,21.29,HIGH_LOW_SPEED_RATIO_CONTEXT|HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
3_1,qixing_lengshuikeng_3_1,1600,1650,UNKNOWN,127,VERY_HIGH_ROUTE_LOAD_CONTEXT,94.944,16.629,40.637,0.7,0.45,,1.0,,,,IB2_TERRAIN_HIGH_CONTEXT|SLOPE_OR_VERTICAL_HIGH_CONTEXT|STEPS_CONTEXT,STEPS_CONTEXT,True,True,True,0.286505,0.393701,0.173228,13.949,18.868,3.167,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,WITHIN_CONTEXT_GROUP:STEPS_CONTEXT,True,13.268,HIGH_LOW_SPEED_RATIO_CONTEXT|HIGH_TERRAIN_OR_SURFACE_CONTEXT|LOW_SPEED_WINDOW_CONTEXT|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT|STOPPED_WINDOW_CONTEXT,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Window-level terrain movement maintenance context only. A low value indicates relative movement-response review within comparable terrain/surface contexts, not personal ability, abnormality, or causality."
