activity_id_short,participant_id,radar_axis_count,supported_axis_count,limited_proxy_axis_count,insufficient_evidence_axis_count,mean_available_axis_index_0_100,min_available_axis_index_0_100,max_available_axis_index_0_100,lowest_available_axis_id,highest_available_axis_id,radar_readiness_label,activity_history_primary_label,activity_history_evidence_tier,numeric_attribution_label_v0_5,suggested_report_case_role,hr_median_zone_sex_age_est,tertiary_profile_context_signal,interpretation_boundary
35_1,35,7,2,3,2,74.2,55.0,84.0,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
36_1,36,7,2,3,2,54.533,33.333,74.0,hr_output_efficiency_proxy,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HRMAX_ESTIMATE_OR_SENSOR_REVIEW_CONTEXT,SECONDARY_HRMAX_ESTIMATE_OR_SENSOR_REVIEW,,,HR_ESTIMATE_EXCEEDS_100_REVIEW,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
37_1,37,7,2,3,2,39.2,26.667,60.0,hr_output_efficiency_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
38_1,38,7,2,3,2,40.8,4.0,68.0,uphill_load_tolerance_proxy,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ZONE2_60_70_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
3_1,3,7,2,3,2,64.133,54.667,78.0,sustained_progress,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,REFERENCE_OR_LIMITED_ATTENTION_CONTEXT,,,ZONE2_60_70_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
40_1,40,7,2,3,2,42.733,28.0,52.0,weather_performance_maintenance_proxy,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,REFERENCE_OR_LIMITED_ATTENTION_CONTEXT,,,ZONE3_70_80_PCT_HRMAX,SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
41_1,41,7,2,3,2,54.0,34.0,66.667,weather_performance_maintenance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
42_1,42,7,2,3,2,15.067,8.0,26.0,weather_performance_maintenance_proxy,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
43_1,43,7,2,3,2,12.133,0.0,26.667,weather_performance_maintenance_proxy,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ZONE3_70_80_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
44_1,44,7,2,3,2,71.2,62.667,96.0,sustained_progress,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
45_1,45,7,2,3,2,63.467,48.0,84.0,uphill_load_tolerance_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE5_90_100_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
46_1,46,7,2,3,2,23.067,16.0,37.333,sustained_progress,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ZONE3_70_80_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
48_1,48,7,2,3,2,15.667,5.333,34.667,sustained_progress,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ZONE2_60_70_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
8_1,8,7,2,3,2,48.133,34.667,68.0,hr_output_efficiency_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE4_80_90_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
9_1,9,7,2,3,2,33.533,16.0,40.0,weather_performance_maintenance_proxy,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ZONE3_70_80_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
