activity_id_short,windows_n,candidate_windows_n,routine_planning_context_windows_n,review_for_conservative_planning_windows_n,conservative_planning_recommended_windows_n,turnaround_condition_review_windows_n,max_route_load_context_index_0_100,median_route_load_context_index_0_100,planning_caution_window_ratio,turnaround_condition_review_window_ratio,weather_attach_level,weather_context_available_for_planning,event_annotation_windows_n,summary_boundary
35_1,84,36,0,36,25,23,100.0,66.9265,1.0,0.27381,WEATHER_ACTIVITY_LEVEL_ONLY,True,43,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
36_1,81,36,0,39,16,26,100.0,67.44,1.0,0.320988,WEATHER_ACTIVITY_LEVEL_ONLY,True,40,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
37_1,80,37,0,35,20,25,100.0,68.344,1.0,0.3125,WEATHER_ACTIVITY_LEVEL_ONLY,True,12,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
38_1,81,45,0,35,18,28,100.0,67.274,1.0,0.345679,WEATHER_ACTIVITY_LEVEL_ONLY,True,54,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
3_1,81,37,0,35,20,26,100.0,68.812,1.0,0.320988,WEATHER_ACTIVITY_LEVEL_ONLY,True,7,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
40_1,81,42,0,35,17,29,100.0,69.381,1.0,0.358025,WEATHER_ACTIVITY_LEVEL_ONLY,True,6,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
41_1,83,41,0,36,18,29,100.0,65.646,1.0,0.349398,WEATHER_ACTIVITY_LEVEL_ONLY,True,6,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
42_1,84,46,0,37,19,28,100.0,67.1825,1.0,0.333333,WEATHER_ACTIVITY_LEVEL_ONLY,True,10,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
43_1,84,47,0,37,20,27,100.0,66.971,1.0,0.321429,WEATHER_ACTIVITY_LEVEL_ONLY,True,20,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
44_1,80,22,0,33,32,15,100.0,70.4865,1.0,0.1875,WEATHER_ACTIVITY_LEVEL_ONLY,True,7,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
45_1,81,30,0,35,25,21,100.0,68.466,1.0,0.259259,WEATHER_ACTIVITY_LEVEL_ONLY,True,4,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
46_1,84,44,0,38,16,30,100.0,65.1825,1.0,0.357143,WEATHER_ACTIVITY_LEVEL_ONLY,True,13,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
48_1,84,45,0,39,18,27,100.0,66.06450000000001,1.0,0.321429,WEATHER_ACTIVITY_LEVEL_ONLY,True,14,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
8_1,84,38,0,40,16,28,100.0,66.465,1.0,0.333333,WEATHER_ACTIVITY_LEVEL_ONLY,True,6,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
9_1,81,43,0,34,20,27,100.0,67.741,1.0,0.333333,WEATHER_ACTIVITY_LEVEL_ONLY,True,54,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
