schema_version,activity_id_short,activity_id_full,join_status,duration_min,route_dist_covered_m,route_dist_covered_km,calibrated_speed_mps_median,moving_sec,stopped_sec,heart_rate_available,heart_rate_bpm_median,heart_rate_bpm_p75,heart_rate_bpm_p90,calibrated_cumulative_gain_m,calibrated_cumulative_loss_m,terrain_slope_pct_median,terrain_slope_pct_p75,terrain_slope_pct_p90,backend_use_analytics_ready_ratio,calibration_review_required_ratio,movement_review_required_ratio,activity_performance_quality_flag,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,precipitation_mm,sunshine_duration_min,uv_index,rain_observed,high_humidity_observed,wind_gust_observed,descriptive_tags,candidate_duration_min_per_km,candidate_median_speed_kmh,candidate_gain_m_per_km,candidate_duration_min_per_100m_gain,candidate_gain_rate_m_per_hour,candidate_hr_median_context,candidate_weather_context_flags,candidate_data_quality_gate,candidate_model_readiness_note,ability_score_generated,ability_rank_generated,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_note
ib3_baseline_hiking_performance_model_smoke_v1,28_1,qixing_lengshuikeng_28_1,MATCHED,143.6833,4186.0,4.186,0.3896,5327.0,323.0,True,144.0,159.0,168.0,12.966,38.634,22.5475,40.7695,55.146,0.76598,0.231126,0.01378,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.9,88.2,918.5,1.9,7.1,0,222,7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,34.324725,1.40256,3.097468,1108.154404,5.414408,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,29_1,qixing_lengshuikeng_29_1,MATCHED,126.8,4185.0,4.185,0.3225,3958.0,0.0,True,139.0,158.0,166.0,34.854,49.429,31.491,50.145,77.8038,0.735319,0.264681,0.021118,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24,94.2,920.2,2.1,5.8,1,204,7,True,True,True,有觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,30.298686,1.161,8.328315,363.803294,16.492429,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,30_1,qixing_lengshuikeng_30_1,MATCHED,126.8333,4185.0,4.185,0.6081,4854.0,438.0,True,134.0,153.0,159.0,193.337,214.293,17.291,29.4675,40.3952,0.735524,0.264476,0.0078,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.3,90.4,918.7,1.7,7.1,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,30.306643,2.18916,46.197611,65.602187,91.460366,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,33_1,qixing_lengshuikeng_33_1,MATCHED,109.3667,4187.0,4.187,0.5537,4046.0,302.0,True,138.0,156.0,163.0,41.254,38.59,30.9235,64.7275,106.2265,0.700699,0.298845,0.015953,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.8,91.4,919,3.1,6.8,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,26.12054,1.99332,9.852878,265.105687,22.632483,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,35_1,qixing_lengshuikeng_35_1,MATCHED,125.8167,4187.0,4.187,0.4925,4674.0,0.0,True,138.0,161.0,167.0,48.419,37.35,27.6565,53.2737,89.1185,0.739095,0.260905,0.033664,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.3,90.4,918.7,1.7,7.1,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,30.049367,1.773,11.564127,259.849852,23.090257,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,36_1,qixing_lengshuikeng_36_1,MATCHED,133.3333,4167.0,4.167,0.4488,4772.0,350.0,True,173.0,182.0,189.0,24.527,21.912,44.729,65.822,85.796,0.703431,0.295571,0.013974,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.3,90.4,918.7,1.7,7.1,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,31.997432,1.61568,5.886009,543.618461,11.037153,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,37_1,qixing_lengshuikeng_37_1,MATCHED,158.5167,4185.0,4.185,0.3864,5280.0,432.0,True,157.0,167.0,173.0,46.201,12.541,23.347,64.887,83.3912,0.677436,0.22312,0.013742,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.6,89.6,918.6,1.8,7.1,0,222,7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,37.877348,1.39104,11.039665,343.102314,17.487495,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,38_1,qixing_lengshuikeng_38_1,MATCHED,169.7667,4182.0,4.182,0.408,5708.0,24.0,True,117.0,129.0,139.0,147.551,185.752,16.76,29.4597,43.0675,0.783331,0.215163,0.000602,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24.1,90.8,918.9,3.2,6.8,0,336,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,40.59462,1.4688,35.282401,115.056286,52.14839,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,40_1,qixing_lengshuikeng_40_1,MATCHED,128.1833,4185.0,4.185,0.5667,4748.0,202.0,True,136.0,149.0,154.0,28.093,40.215,11.837,34.59,50.2388,0.731397,0.268084,0.015297,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24.5,89.6,919,3.2,6.8,0,336,11,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,30.629223,2.04012,6.712784,456.281992,13.149763,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,41_1,qixing_lengshuikeng_41_1,MATCHED,117.55,4186.0,4.186,0.5256,4565.0,36.0,True,143.0,155.0,160.0,16.805,33.935,27.531,47.027,70.157,0.737318,0.262682,0.008619,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.8,91.4,919,3.1,6.8,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,28.081701,1.89216,4.014572,699.494198,8.577627,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,42_1,qixing_lengshuikeng_42_1,MATCHED,171.1,4187.0,4.187,0.3304,5759.0,759.0,True,129.0,153.0,160.0,21.854,44.098,26.132,44.193,72.7346,0.789735,0.209682,0.015068,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.9,89.7,917.1,3.1,7.4,0,294,8,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,40.864581,1.18944,5.219489,782.923035,7.663589,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,43_1,qixing_lengshuikeng_43_1,MATCHED,190.5333,4187.0,4.187,0.3141,6697.0,809.0,True,125.0,137.0,146.0,33.429,37.249,24.791,56.378,82.935,0.816697,0.181644,0.013798,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24.1,90.8,918.9,3.2,6.8,0,336,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,45.505923,1.13076,7.983998,569.964103,10.526979,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,44_1,qixing_lengshuikeng_44_1,MATCHED,116.5333,4187.0,4.187,0.2657,3304.0,1157.0,True,132.0,165.0,171.0,28.4,48.512,9.8805,24.517,39.6642,0.736234,0.263053,0.032525,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.8,91.4,919,3.1,6.8,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,27.832171,0.95652,6.782899,410.328521,14.62243,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,45_1,qixing_lengshuikeng_45_1,MATCHED,120.1667,4186.0,4.186,0.4051,4018.0,588.0,True,141.0,159.0,166.0,28.776,29.447,14.627,37.9215,62.1387,0.731701,0.26567,0.030165,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.8,91.4,919,3.1,6.8,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,28.706808,1.45836,6.874343,417.593481,14.36804,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,46_1,qixing_lengshuikeng_46_1,MATCHED,171.5,4187.0,4.187,0.3262,5744.0,778.0,True,115.0,150.0,160.0,30.8,27.423,22.4825,36.6332,52.2314,0.781547,0.215352,0.028106,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.9,89.7,917.1,3.1,7.4,0,294,8,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,40.960115,1.17432,7.356102,556.818182,10.77551,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,48_1,qixing_lengshuikeng_48_1,MATCHED,192.7833,4187.0,4.187,0.2943,6226.0,1707.0,True,102.0,121.0,139.0,27.995,22.403,26.9485,45.797,62.695,0.827224,0.170453,0.018327,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.2,95.4,916,2.1,11.4,0,36,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、UV ≥6,46.043301,1.05948,6.686171,688.634756,8.712892,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
