activity_id,route_case_id,activity_route_binding_method,navigation_challenge_context_status,governed_decision_point_exposure_count,governed_fork_exposure_count,decision_point_exposure_per_km,fork_exposure_per_km,route_length_m,not_personal_ability_axis,not_navigation_ability_score,not_radar_score,not_go_no_go_decision,interpretation_boundary
36_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
37_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
38_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
40_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
41_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
42_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
43_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
44_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
45_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
46_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
48_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
8_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
9_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
