activity_id,route_case_id,route_following_stability_proxy_value,route_following_source_status,navigation_challenge_context_status,governed_decision_point_exposure_count,governed_fork_exposure_count,decision_point_exposure_per_km,fork_exposure_per_km,route_following_interpretation_context,not_personal_ability_axis,not_navigation_ability_score,not_radar_score,not_go_no_go_decision,interpretation_boundary
35_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
36_1,qixing_lengshuikeng,65.47,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
37_1,qixing_lengshuikeng,13.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
38_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
40_1,qixing_lengshuikeng,74.65,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
41_1,qixing_lengshuikeng,91.55,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
42_1,qixing_lengshuikeng,5.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
43_1,qixing_lengshuikeng,18.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
44_1,qixing_lengshuikeng,56.60,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
45_1,qixing_lengshuikeng,91.35,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
46_1,qixing_lengshuikeng,13.92,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
48_1,qixing_lengshuikeng,11.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
8_1,qixing_lengshuikeng,35.35,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
9_1,qixing_lengshuikeng,44.30,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
