source_output_case,station_id,station_name,county_name,town_name,nearest_activity_dist_m,station_rank_by_distance,weather_db_station_elevation_m,observed_variable_count,missing_variable_count,observed_precipitation_zero_rows,representativeness_review,representativeness_reason,zero_fallback_true_count,nlsc_station_elevation_m,station_elevation_status,station_elevation_confidence,station_elevation_nlsc_tile,station_elevation_context_status,station_elevation_policy_action,station_elevation_context_class,station_elevation_join_status,schema_version,station_policy_class,selection_action,selection_priority,distance_band,elevation_band,eligible_for_mountain_representative_selection,policy_reason
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A9F0,內湖,臺北市,內湖區,9637.5,11,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 11); observation presence alone is insufficient for mountain representativeness.,0,16.8,FINAL_ACCEPTABLE,good,97233SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,511,WITHIN_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466900,淡水,新北市,淡水區,10018.7,12,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 12); observation presence alone is insufficient for mountain representativeness.,0,12.8,FINAL_ACCEPTABLE,good,96232NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,512,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A940,金山,新北市,金山區,10318.6,13,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 13); observation presence alone is insufficient for mountain representativeness.,0,32.9,FINAL_ACCEPTABLE,good,97233NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,513,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A980,社子,臺北市,士林區,10514.9,14,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 14); observation presence alone is insufficient for mountain representativeness.,0,24.8,FINAL_ACCEPTABLE,moderate,96232SE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,514,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ70,田寮,新北市,三芝區,11921.4,16,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 16); observation presence alone is insufficient for mountain representativeness.,0,10.1,FINAL_ACCEPTABLE,good,96231SE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,516,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ40,石門,新北市,石門區,12024.0,17,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 17); observation presence alone is insufficient for mountain representativeness.,0,133.4,FINAL_ACCEPTABLE,good,97234SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,517,OVER_10KM,LOW_HILLS_OR_URBAN_EDGE,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AD30,蘆洲,新北市,蘆洲區,12152.7,18,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 18); observation presence alone is insufficient for mountain representativeness.,0,21.0,FINAL_LOW_CONFIDENCE_REVIEW_REQUIRED,low,96232SE,ACCEPTABLE_CONTEXT_REVIEWED_LOW_CONFIDENCE,ACCEPT_CONTEXT_LIMITATION_DO_NOT_EDIT_FINAL,FLAT_URBAN_BASIN_CONTOUR_SPARSE_REVIEW,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,518,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI20,白沙灣,新北市,石門區,12165.0,19,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 19); observation presence alone is insufficient for mountain representativeness.,0,13.0,FINAL_ACCEPTABLE,good,97234SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,519,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ60,六塊厝,新北市,淡水區,12228.3,20,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 20); observation presence alone is insufficient for mountain representativeness.,0,13.2,FINAL_ACCEPTABLE,moderate,96232NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,520,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA030,國三S010K,新北市,汐止區,12712.3,21,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 21); observation presence alone is insufficient for mountain representativeness.,0,50.3,FINAL_ACCEPTABLE,good,97233SE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,521,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB040,國三S007K,基隆市,七堵區,12955.3,23,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 23); observation presence alone is insufficient for mountain representativeness.,0,50.9,FINAL_ACCEPTABLE,good,97233SE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,523,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH70,松山,臺北市,松山區,12960.5,24,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 24); observation presence alone is insufficient for mountain representativeness.,0,45.5,FINAL_LOW_CONFIDENCE_REVIEW_REQUIRED,low,97233SW,ACCEPTABLE_CONTEXT_REVIEWED_LOW_CONFIDENCE,ACCEPT_CONTEXT_LIMITATION_DO_NOT_EDIT_FINAL,FLAT_URBAN_BASIN_CONTOUR_SPARSE_REVIEW,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,524,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI30,三重,新北市,三重區,13286.9,25,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 25); observation presence alone is insufficient for mountain representativeness.,0,19.7,FINAL_LOW_CONFIDENCE_REVIEW_REQUIRED,low,97233SW,ACCEPTABLE_CONTEXT_REVIEWED_LOW_CONFIDENCE,ACCEPT_CONTEXT_LIMITATION_DO_NOT_EDIT_FINAL,FLAT_URBAN_BASIN_CONTOUR_SPARSE_REVIEW,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,525,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ20,野柳,新北市,萬里區,13501.0,26,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 26); observation presence alone is insufficient for mountain representativeness.,0,47.1,FINAL_ACCEPTABLE,good,97233NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,526,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB030,國三S004K,基隆市,七堵區,13786.2,27,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 27); observation presence alone is insufficient for mountain representativeness.,0,100.3,FINAL_ACCEPTABLE,good,97233SE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,527,OVER_10KM,LOW_HILLS_OR_URBAN_EDGE,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ30,淡水觀海,新北市,淡水區,14010.9,28,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 28); observation presence alone is insufficient for mountain representativeness.,0,17.8,FINAL_LOW_CONFIDENCE_REVIEW_REQUIRED,low,96232NE,ACCEPTABLE_CONTEXT_REVIEWED_LOW_CONFIDENCE,ACCEPT_CONTEXT_LIMITATION_DO_NOT_EDIT_FINAL,COASTAL_OR_ESTUARY_FLAT_TERRAIN_REVIEW,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,528,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AC70,信義,臺北市,信義區,14147.1,29,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 29); observation presence alone is insufficient for mountain representativeness.,0,14.4,FINAL_ACCEPTABLE,moderate,97233SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,529,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0B040,大武崙,基隆市,安樂區,14403.1,30,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 30); observation presence alone is insufficient for mountain representativeness.,0,18.4,FINAL_ACCEPTABLE,good,97233NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,530,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH00,汐止,新北市,汐止區,14557.9,31,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 31); observation presence alone is insufficient for mountain representativeness.,0,13.0,FINAL_ACCEPTABLE,good,97233SE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,531,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AD10,八里,新北市,八里區,14755.6,32,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 32); observation presence alone is insufficient for mountain representativeness.,0,29.2,FINAL_ACCEPTABLE,good,96232NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,532,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466920,臺北,臺北市,中正區,14816.2,33,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 33); observation presence alone is insufficient for mountain representativeness.,0,10.0,FINAL_LOW_CONFIDENCE_REVIEW_REQUIRED,low,97233SW,ACCEPTABLE_CONTEXT_REVIEWED_LOW_CONFIDENCE,ACCEPT_CONTEXT_LIMITATION_DO_NOT_EDIT_FINAL,FLAT_URBAN_BASIN_CONTOUR_SPARSE_REVIEW,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,533,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAAH60,大安森林,臺北市,大安區,15230.6,35,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 35); observation presence alone is insufficient for mountain representativeness.,0,10.0,FINAL_ACCEPTABLE,good,97233SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,535,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA040,國三S016K,臺北市,南港區,15644.2,36,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 36); observation presence alone is insufficient for mountain representativeness.,0,60.1,FINAL_ACCEPTABLE,good,97233SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,536,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB050,國三N002K,基隆市,安樂區,16036.8,37,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 37); observation presence alone is insufficient for mountain representativeness.,0,63.0,FINAL_ACCEPTABLE,good,97233NE,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,537,OVER_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
