source_output_case,station_id,station_name,county_name,town_name,nearest_activity_dist_m,station_rank_by_distance,station_elevation_m,observed_variable_count,missing_variable_count,observed_precipitation_zero_rows,representativeness_review,representativeness_reason,zero_fallback_true_count
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A9F0,內湖,臺北市,內湖區,9637.5,11,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 11); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466900,淡水,新北市,淡水區,10018.7,12,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 12); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A940,金山,新北市,金山區,10318.6,13,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 13); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A980,社子,臺北市,士林區,10514.9,14,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 14); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA020,國一S026K,新北市,三重區,11636.3,15,,5,5,1,COUNTEREXAMPLE_NOT_MOUNTAIN_REPRESENTATIVE,"CAA020 is the National Freeway 1 S026K station in Sanchong, 11.6 km from the activity and rank 15. Observation availability does not make it representative of mountain-route weather.",0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ70,田寮,新北市,三芝區,11921.4,16,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 16); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ40,石門,新北市,石門區,12024.0,17,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 17); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AD30,蘆洲,新北市,蘆洲區,12152.7,18,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 18); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI20,白沙灣,新北市,石門區,12165.0,19,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 19); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ60,六塊厝,新北市,淡水區,12228.3,20,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 20); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA030,國三S010K,新北市,汐止區,12712.3,21,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 21); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA010,國一N013K,新北市,汐止區,12762.1,22,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 22); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB040,國三S007K,基隆市,七堵區,12955.3,23,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 23); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH70,松山,臺北市,松山區,12960.5,24,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 24); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI30,三重,新北市,三重區,13286.9,25,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 25); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ20,野柳,新北市,萬里區,13501.0,26,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 26); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB030,國三S004K,基隆市,七堵區,13786.2,27,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 27); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ30,淡水觀海,新北市,淡水區,14010.9,28,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 28); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AC70,信義,臺北市,信義區,14147.1,29,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 29); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0B040,大武崙,基隆市,安樂區,14403.1,30,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 30); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH00,汐止,新北市,汐止區,14557.9,31,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 31); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AD10,八里,新北市,八里區,14755.6,32,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 32); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466920,臺北,臺北市,中正區,14816.2,33,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 33); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB020,國一S006K,基隆市,七堵區,15166.1,34,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 34); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAAH60,大安森林,臺北市,大安區,15230.6,35,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 35); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA040,國三S016K,臺北市,南港區,15644.2,36,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 36); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB050,國三N002K,基隆市,安樂區,16036.8,37,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 37); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI00,五股,新北市,五股區,16294.2,38,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 38); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0ACA0,新莊,新北市,新莊區,16810.2,39,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 39); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,A0A010,臺灣大學,臺北市,大安區,16876.2,40,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 40); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0B010,七堵,基隆市,七堵區,17322.1,41,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 41); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAB010,國一S001K,基隆市,安樂區,17482.4,42,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 42); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH10,永和,新北市,永和區,17824.7,43,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 43); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466940,基隆,基隆市,仁愛區,18135.8,44,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 44); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AC80,文山,臺北市,文山區,18153.1,45,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 45); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA090,國三甲005K,臺北市,文山區,18514.1,46,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 46); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH80,深坑,新北市,深坑區,19247.7,47,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 47); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0B060,暖暖,基隆市,暖暖區,19387.5,48,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 48); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH50,林口,新北市,林口區,20186.9,49,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 49); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AJ80,板橋,新北市,板橋區,20339.9,50,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 50); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AG80,中和,新北市,中和區,20402.8,51,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 51); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A640,石碇,新北市,石碇區,21540.1,52,,3,7,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 52); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,CAA050,國三S037K,新北市,土城區,22117.1,53,,5,5,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 53); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0C680,龜山,桃園市,龜山區,22778.7,54,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 54); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AD40,土城,新北市,土城區,24162.3,55,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 55); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A520,山佳,新北市,樹林區,26324.1,56,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 56); observation presence alone is insufficient for mountain representativeness.,0
