participant_id,activity_id_short,study_population_status,plot_created,plot_path,plot_reason,plotted_axis_count,allowed_proxy_axis_count,blocked_limited_proxy_axis_count,descriptive_annotation_count,missing_evidence_annotation_count,interpretation_boundary
28,28_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_28_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
29,29_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_29_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
30,30_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_30_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
33,33_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_33_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
35,35_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_35_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
36,36_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_36_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
37,37_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_37_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
38,38_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_38_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
40,40_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_40_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
41,41_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_41_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
42,42_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_42_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
43,43_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_43_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
44,44_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_44_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
45,45_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_45_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
46,46_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_46_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
48,48_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_48_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
