schema_version,activity_id,activity_id_short,activity_date_taiwan,activity_start_taiwan,activity_end_taiwan,observed_context_source_type,observed_variable_count,unavailable_variable_count,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_direction_deg,precipitation_mm,sunshine_duration_min,uv_index,rain_observed,high_humidity_observed,wind_gust_observed,descriptive_tags,codis_selected_station_names,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_reason
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_44_1,44_1,2024-08-25,2024-08-25 08:05,2024-08-25 10:01,OBSERVED_HISTORICAL_CODIS,9,4,23.8,91.4,919,3.1,6.8,350,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_45_1,45_1,2024-08-25,2024-08-25 08:06,2024-08-25 10:06,OBSERVED_HISTORICAL_CODIS,9,4,23.8,91.4,919,3.1,6.8,350,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_43_1,43_1,2024-08-25,2024-08-25 08:07,2024-08-25 11:17,OBSERVED_HISTORICAL_CODIS,9,4,24.1,90.8,918.9,3.2,6.8,350,0,336,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_41_1,41_1,2024-08-25,2024-08-25 08:29,2024-08-25 10:26,OBSERVED_HISTORICAL_CODIS,9,4,23.8,91.4,919,3.1,6.8,350,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_33_1,33_1,2024-08-25,2024-08-25 08:53,2024-08-25 10:42,OBSERVED_HISTORICAL_CODIS,9,4,23.8,91.4,919,3.1,6.8,350,0,300,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_38_1,38_1,2024-08-25,2024-08-25 08:56,2024-08-25 11:46,OBSERVED_HISTORICAL_CODIS,9,4,24.1,90.8,918.9,3.2,6.8,350,0,336,11,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_40_1,40_1,2024-08-25,2024-08-25 09:14,2024-08-25 11:22,OBSERVED_HISTORICAL_CODIS,9,4,24.5,89.6,919,3.2,6.8,351.2,0,336,11,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_46_1,46_1,2024-08-26,2024-08-26 08:45,2024-08-26 11:37,OBSERVED_HISTORICAL_CODIS,9,4,23.9,89.7,917.1,3.1,7.4,354.2,0,294,8,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_42_1,42_1,2024-08-26,2024-08-26 08:46,2024-08-26 11:37,OBSERVED_HISTORICAL_CODIS,9,4,23.9,89.7,917.1,3.1,7.4,354.2,0,294,8,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_3_1,3_1,2024-09-17,2024-09-17 07:43,2024-09-17 09:54,OBSERVED_HISTORICAL_CODIS,9,4,23.1,94,916.4,4.8,14.7,173.8,0,186,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_9_1,9_1,2024-09-22,2024-09-22 08:56,2024-09-22 11:20,OBSERVED_HISTORICAL_CODIS,9,4,22,100,917.5,4.3,14.5,346.1,44.5,0,1,True,True,True,有觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、累積降雨 ≥5 mm、無日照,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,xiaoyoukeng_20260410,2026-04-11,2026-04-11 05:35,2026-04-11 07:54,MIXED_DIRECT_AND_CODIS,9,4,21.2,86,935.7,1.5,5.7,138.4,0,108,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
