activity_id_short,completion_group,completion_time_min,segment_start_m,segment_end_m,window_count,dominant_planning_caution_level,max_route_load_context_index_0_100,dominant_route_load_context_band,candidate_windows_n,behavior_response_flags_merged,event_annotation_flags_merged,speed_mps_median,low_speed_ratio_median,stopped_ratio_median,heart_rate_bpm_median,segment_completion_interpretation
20_1,middle,149.95,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.377506,0.222826,0.0,165.0,PASSED_BUT_REVIEW_REQUIRED
28_1,middle,143.6833,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.35746,0.46281,0.0,158.5,PASSED_BUT_REVIEW_REQUIRED
36_1,middle,133.3333,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH,NONE,0.412476,0.391304,0.0,186.0,PASSED_BUT_REVIEW_REQUIRED
3_1,middle,130.9667,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW|STOP_RATIO_OBSERVED,NONE,0.342704,0.412281,0.0,113.0,PASSED_BUT_REVIEW_REQUIRED
40_1,middle,128.1833,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW|STOP_RATIO_OBSERVED,NONE,0.389124,0.446809,0.0,145.0,PASSED_BUT_REVIEW_REQUIRED
8_1,middle,140.2167,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED,NONE,0.282313,0.59009,0.0,174.0,PASSED_BUT_REVIEW_REQUIRED
9_1,middle,144.0333,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.309104,0.6,0.0,169.0,PASSED_BUT_REVIEW_REQUIRED
16_1,slow,169.75,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.165941,0.310078,0.162011,134.0,PASSED_BUT_REVIEW_REQUIRED
23_1,slow,188.4,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD,NONE,0.23838,0.212815,0.0,155.0,PASSED_BUT_REVIEW_REQUIRED
37_1,slow,158.5167,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED,NONE,0.322829,0.511905,0.0,169.0,PASSED_BUT_REVIEW_REQUIRED
38_1,slow,169.7667,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD,NONE,0.278789,0.116505,0.0,121.0,PASSED_BUT_REVIEW_REQUIRED
42_1,slow,171.1,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,EVENT_SHORT_PAUSE|EVENT_HIGH_HR_RECOVERY_STOP,0.177525,0.660256,0.0,151.0,PASSED_BUT_REVIEW_REQUIRED
43_1,slow,190.5333,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.15742,0.590909,0.085586,134.5,PASSED_BUT_REVIEW_REQUIRED
46_1,slow,171.5,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.274921,0.605701,0.0,153.0,PASSED_BUT_REVIEW_REQUIRED
48_1,slow,192.7833,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW|STOP_RATIO_OBSERVED,NONE,0.245759,0.5625,0.0,130.0,PASSED_BUT_REVIEW_REQUIRED
