activity_id_short,completion_group,completion_time_min,segment_start_m,segment_end_m,speed_mps_median,low_speed_ratio_median,stopped_ratio_median,heart_rate_bpm_median,relative_high_hr_window_ratio,dominant_planning_caution_level,dominant_route_load_context_band,candidate_windows_n,weather_interpretation_flags,hr_effort_interpretation_flags,early_checkpoint_effort_interpretation
20_1,middle,149.95,1350,1700,0.377506,0.222826,0.0,165.0,0.571429,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
28_1,middle,143.6833,1350,1700,0.35746,0.46281,0.0,158.5,0.428571,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
36_1,middle,133.3333,1350,1700,0.412476,0.391304,0.0,186.0,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
3_1,middle,130.9667,1350,1700,0.342704,0.412281,0.0,113.0,0.428571,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
40_1,middle,128.1833,1350,1700,0.389124,0.446809,0.0,145.0,0.285714,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
8_1,middle,140.2167,1350,1700,0.282313,0.59009,0.0,174.0,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
9_1,middle,144.0333,1350,1700,0.309104,0.6,0.0,169.0,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
16_1,slow,169.75,1350,1700,0.165941,0.310078,0.162011,134.0,0.142857,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_STOP_AND_HIGH_HR_RESPONSE
23_1,slow,188.4,1350,1700,0.23838,0.212815,0.0,155.0,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
37_1,slow,158.5167,1350,1700,0.322829,0.511905,0.0,169.0,0.857143,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
38_1,slow,169.7667,1350,1700,0.278789,0.116505,0.0,121.0,0.428571,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
42_1,slow,171.1,1350,1700,0.177525,0.660256,0.0,151.0,0.428571,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
43_1,slow,190.5333,1350,1700,0.15742,0.590909,0.085586,134.5,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_STOP_AND_HIGH_HR_RESPONSE
46_1,slow,171.5,1350,1700,0.274921,0.605701,0.0,153.0,0.571429,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
48_1,slow,192.7833,1350,1700,0.245759,0.5625,0.0,130.0,0.571429,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
