activity_id,study_population_status,baseline_population_gate,detector_file_found,evidence_state,event_rows,terminal_event_rows,non_terminal_event_rows,route_issue_event_count,off_route_event_count,navigation_uncertainty_event_count,rejoin_candidate_event_count,high_confidence_route_issue_count,low_confidence_route_issue_count,route_issue_duration_sec,total_event_duration_sec,max_offset_m,mean_off_route_ratio,min_on_route_ratio,candidate_proxy_route_following_stability_0_100,candidate_proxy_note,admission_status,allowed_use,disallowed_use
35_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,1988.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
36_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,14,1,13,2,1,2,0,1,0,221.0,2534.0,39.71,0.0769,0.0,65.47,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
37_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,27,1,26,6,1,6,1,1,5,1018.0,3870.0,176.023,0.0399,0.025,13.0,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
38_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,1962.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
3_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,8,1,7,5,0,5,0,1,4,220.0,2312.0,9.699,0.0,1.0,51.5,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
40_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,9,1,8,3,0,3,0,0,3,54.0,2509.0,7.113,0.0,1.0,74.65,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
41_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,8,1,7,1,0,1,0,0,1,18.0,2024.0,9.683,0.0,1.0,91.55,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
42_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,30,1,29,18,0,18,0,6,12,1029.0,3714.0,8.637,0.0058,0.9375,5.0,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
43_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,44,1,43,29,0,29,0,2,27,960.0,4037.0,10.876,0.0007,0.9706,18.0,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
44_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,12,1,11,5,0,5,0,0,5,136.0,3694.0,19.421,0.0045,0.95,56.6,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
45_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,5,1,4,1,0,1,0,0,1,26.0,2969.0,21.918,0.0,1.0,91.35,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
46_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,39,1,38,25,0,25,0,4,21,883.0,3712.0,12.507,0.0041,0.9375,13.92,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
48_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,42,1,41,36,0,36,0,4,32,1276.0,4525.0,9.826,0.0051,0.9412,11.0,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
6_1,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,BLOCKED_EXTRA_SOURCE,True,EXTRA_SOURCE_BLOCKED,2,1,1,1,1,1,1,1,0,89.0,6449.0,61.823,1.0,0.0,,Extra source activity is excluded from formal baseline proxy admission.,BLOCKED_EXTRA_SOURCE_NOT_BASELINE,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
8_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,16,1,15,6,0,6,0,3,3,466.0,2620.0,7.216,0.0,1.0,35.35,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
9_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,13,1,12,8,0,8,0,0,8,148.0,2382.0,12.923,0.0,1.0,44.3,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
