activity_id_short,source_path,source_file_size_bytes,in_radar_baseline,source_layer,inventory_status,interpretation_boundary
38_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\38_1\activity_38_1_projected_joined_v2_3_2.csv,65449200,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
3_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\3_1\activity_3_1_projected_joined_v2_3_2.csv,29548034,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
40_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\40_1\activity_40_1_projected_joined_v2_3_2.csv,28878261,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
41_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\41_1\activity_41_1_projected_joined_v2_3_2.csv,26581850,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
42_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\42_1\activity_42_1_projected_joined_v2_3_2.csv,39208483,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
43_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\43_1\activity_43_1_projected_joined_v2_3_2.csv,44108715,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
44_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\44_1\activity_44_1_projected_joined_v2_3_2.csv,26020393,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
45_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\45_1\activity_45_1_projected_joined_v2_3_2.csv,26882415,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
46_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\46_1\activity_46_1_projected_joined_v2_3_2.csv,39185072,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
48_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\48_1\activity_48_1_projected_joined_v2_3_2.csv,44687480,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
6_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\6_1\activity_6_1_projected_joined_v2_3_2.csv,127439791,False,ch6_single_activity_mainline_profile_v2_3_2,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
8_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\8_1\activity_8_1_projected_joined_v2_3_2.csv,31880477,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
9_1,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\9_1\activity_9_1_projected_joined_v2_3_2.csv,40887581,True,ch6_single_activity_mainline_profile_v2_3_2,RADAR_BASELINE_ACTIVITY,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
