activity_id_short,duration_sec,point_count,hr_available_count,hr_coverage_ratio,hr_min_bpm,hr_max_bpm,hr_median_bpm,hr_p75_bpm,hr_p90_bpm,hr_range_bpm,speed_mps_median,high_load_hr_median,high_load_speed_mps_median,early_hr_median,middle_hr_median,late_hr_median,early_speed_median,late_speed_median,hr_drift_late_minus_early_bpm,speed_drift_late_minus_early_mps,input_time_col,input_hr_col,input_speed_col,input_route_distance_col,data_quality_flags,boundary
35_1,7549.0,7550,7550,1.0,75.0,174.0,138.0,161.0,167.0,99.0,,157.0,,164.0,137.0,101.0,,,-63.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,8000.0,8001,8001,1.0,93.0,194.0,173.0,182.0,189.0,101.0,,179.0,,182.0,172.0,139.0,,,-43.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
37_1,9511.0,9512,9512,1.0,88.0,182.0,157.0,167.0,173.0,94.0,,158.0,,162.0,155.0,142.0,,,-20.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,10186.0,3235,3235,1.0,59.0,154.0,117.0,128.0,139.0,95.0,,122.0,,129.0,117.0,110.0,,,-19.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,7858.0,7859,7859,1.0,65.0,170.0,112.0,137.0,157.0,105.0,,126.0,,144.0,112.0,88.0,,,-56.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,7691.0,7692,7692,1.0,82.0,163.0,136.0,149.0,154.0,81.0,,145.0,,150.0,135.0,102.0,,,-48.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,7053.0,7054,7054,1.0,73.0,165.0,143.0,155.0,160.0,92.0,,151.0,,154.0,145.0,112.0,,,-42.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,10266.0,10267,10267,1.0,99.0,166.0,129.0,153.0,160.0,67.0,,143.0,,156.0,130.0,113.0,,,-43.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,11432.0,11433,11433,1.0,63.0,194.0,125.0,137.0,146.0,131.0,,130.0,,135.0,126.0,118.0,,,-17.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,6992.0,6993,6993,1.0,68.0,184.0,132.0,165.0,171.0,116.0,,144.0,,169.0,124.0,95.0,,,-74.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
45_1,7210.0,7211,7211,1.0,83.0,173.0,141.0,159.0,166.0,90.0,,158.0,,163.0,134.0,100.0,,,-63.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
46_1,10290.0,10291,10291,1.0,83.0,171.0,115.0,150.0,160.0,88.0,,132.0,,153.0,113.0,101.0,,,-52.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
48_1,11567.0,11568,11568,1.0,69.0,158.0,102.0,121.0,139.0,89.0,,112.0,,126.0,98.0,97.0,,,-29.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
6_1,11950.0,11951,11951,1.0,62.0,162.0,93.0,119.0,150.0,100.0,,,,139.0,95.0,74.0,,,-65.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
8_1,8413.0,8413,8413,1.0,92.0,180.0,155.0,170.0,175.0,88.0,,167.0,,171.0,150.0,127.0,,,-44.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
9_1,8642.0,8643,8643,1.0,76.0,182.0,140.0,162.0,172.0,106.0,,148.0,,166.0,142.0,105.0,,,-61.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
