source_path,exists,row_count,candidate_columns,source_role,usable_for_fork_inventory,usable_for_decision_point_inventory,rejection_reason,notes
outputs\ib0_route_axis_v1_3b_convergence_audit\ib0b_control_points_only_route_axis_convergence_audit.csv,True,4,case_id|required_files_ok|ordered_path_exists|mainline_exists|debug_segments_exists|map_exists|summary_exists|control_points_csv_exists|control_points_geojson_exists|required_way_qa_csv_exists|required_way_qa_txt_exists|control_points_n|control_dist_col|control_dist_monotonic|control_start_dist_m|control_end_dist_m|control_start_ok|control_end_ok|ordered_path_length_m|expected_ordered_path_length_m|length_delta_m|length_ok|required_way_all_present_in_input|required_way_all_present_in_mainline|required_way_input_ok|required_way_mainline_ok|ib0b_status,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0_route_axis_v1_3b_convergence_audit\ib0d_v1_3b_contract_qa_convergence_audit.csv,True,4,case_id|reviewed_status|aggregate_status|case_dir_exists|route_points_exists|trimmed_geojson_exists|trim_summary_exists|qa_summary_exists|qa_map_exists|control_point_projection_exists|self_near_pairs_exists|self_near_zones_exists|safe_for_ib1a_ib1c_ib1g_ib1e|safe_for_ib1_bool|self_near_pair_count|expected_self_near_pair_count|unexpected_self_near_pair_count|trim_mode|warnings|hard_fail_reasons,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\_archived_before_20260531_refresh\juansi_waterfall_fitcsv_20260503\juansi_waterfall_fitcsv_20260503_activity_osm_match_summary.csv,True,8,pipeline_stage|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|gpx_source|osm_source|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\_archived_before_20260531_refresh\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3c\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_activity_osm_match_summary.csv,True,8,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\_archived_before_20260531_refresh\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_activity_osm_match_summary.csv,True,5,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\_archived_before_20260531_refresh\qixing_xiaoyoukeng_main_peak_20260315\qixing_xiaoyoukeng_main_peak_20260315_activity_osm_match_summary.csv,True,4,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\_archived_before_20260531_refresh\zhonghua_ust_jiuwufeng_roundtrip_biji\zhonghua_ust_jiuwufeng_roundtrip_biji_activity_osm_match_summary.csv,True,4,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_activity_osm_match_summary.csv,True,8,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_activity_osm_match_summary.csv,True,5,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_activity_osm_match_summary.csv,True,5,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_activity_osm_match_summary.csv,True,4,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_activity_osm_match_summary.csv,True,4,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match_convergence_audit_v1_3b\ib0_route_match_v1_3b_case_convergence_audit.csv,True,4,case_id|ib0_status|case_dir_exists|candidates_geojson_exists|matched_geojson_exists|summary_csv_exists|run_summary_exists|qa_map_exists|summary_rows|candidate_n|matched_n|ia1_version|osm_source|activity_source|blocking_issue|warning_note,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,False,activity_behavior_diagnostic_not_route_decision_point_inventory,Activity diagnostics can validate consequences of forks but cannot define route-level fork exposure alone.
outputs\ib0_route_match_convergence_audit_v1_3b\ib0_route_match_v1_3b_stage_convergence_audit.csv,True,1,stage|official_status|official_script_root|official_script_current_active|script_compile_status|script_reproducibility_note|activity_input_root|osm_input_root|official_output_root|required_outputs|case_coverage_n|case_coverage_expected_n|qa_gate|legacy_roots_do_not_use|next_stage_input|handoff_note,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,False,activity_behavior_diagnostic_not_route_decision_point_inventory,Activity diagnostics can validate consequences of forks but cannot define route-level fork exposure alone.
outputs\ib0_route_match_v1_1\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_activity_osm_match_summary.csv,True,5,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_match_v1_1\qixing_xiaoyoukeng_main_peak_20260315\qixing_xiaoyoukeng_main_peak_20260315_activity_osm_match_summary.csv,True,4,pipeline_stage|case_id|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|activity_fp|gpx_source|osm_source|activity_buffer_fetch_m|activity_buffer_match_m|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_activity_m|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0a2_route_axis_anchor_component_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_pairs.csv,True,2,from_control_id|to_control_id|from_component_id|to_component_id|same_component|nearest_inter_component_dist_m,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,True,3,case_id|control_id|control_role|phase|name|order|lat|lon|nearest_seg_idx|nearest_node_dist_m|component_id|component_size|way_id|highway|highway_norm|name_osm|route_role,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_pairs.csv,True,4,from_control_id|to_control_id|from_component_id|to_component_id|same_component|nearest_inter_component_dist_m,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,True,5,case_id|control_id|control_role|phase|name|order|lat|lon|nearest_seg_idx|nearest_node_dist_m|component_id|component_size|way_id|highway|highway_norm|name_osm|route_role,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_pairs.csv,True,2,from_control_id|to_control_id|from_component_id|to_component_id|same_component|nearest_inter_component_dist_m,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,True,3,case_id|control_id|control_role|phase|name|order|lat|lon|nearest_seg_idx|nearest_node_dist_m|component_id|component_size|way_id|highway|highway_norm|name_osm|route_role,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_pairs.csv,True,8,from_control_id|to_control_id|from_component_id|to_component_id|same_component|nearest_inter_component_dist_m,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,True,9,case_id|control_id|control_role|phase|name|order|lat|lon|nearest_seg_idx|nearest_node_dist_m|component_id|component_size|way_id|highway|highway_norm|name_osm|route_role,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_pairs.csv,True,2,from_control_id|to_control_id|from_component_id|to_component_id|same_component|nearest_inter_component_dist_m,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a2_route_axis_anchor_component_qa\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,True,3,case_id|control_id|control_role|phase|name|order|lat|lon|nearest_seg_idx|nearest_node_dist_m|component_id|component_size|way_id|highway|highway_norm|name_osm|route_role,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a_control_points_osm_projection\_archived_before_20260531_refresh\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_control_points_projected_to_osm_topk.csv,True,10,control_id|control_role|name|order|lat|lon|candidate_rank|offset_to_osm_m|projection_ok|matched_id_text|matched_id_cols|feature_index|part_index|projected_dist_on_feature_m|projected_lat|projected_lon|highway|name_osm|route_role|selected|match_score|overlap_ratio|min_dist_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0a_control_points_osm_projection\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,True,15,control_id|control_role|phase|name|required|route_action|note|order|lat|lon|candidate_rank|offset_to_osm_m|projection_ok|matched_id_text|matched_id_cols|feature_index|part_index|projected_dist_on_feature_m|projected_lat|projected_lon|highway|name_osm|route_role|selected|match_score|overlap_ratio|min_dist_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0a_control_points_osm_projection\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_used.csv,True,3,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a_control_points_osm_projection\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,True,25,control_id|control_role|phase|name|required|route_action|note|order|lat|lon|candidate_rank|offset_to_osm_m|projection_ok|matched_id_text|matched_id_cols|feature_index|part_index|projected_dist_on_feature_m|projected_lat|projected_lon|highway|name_osm|route_role|selected|match_score|overlap_ratio|min_dist_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0a_control_points_osm_projection\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_control_points_used.csv,True,5,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a_control_points_osm_projection\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_control_points_used.csv,True,3,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a_control_points_osm_projection\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,True,15,control_id|control_role|phase|name|required|route_action|note|order|lat|lon|candidate_rank|offset_to_osm_m|projection_ok|matched_id_text|matched_id_cols|feature_index|part_index|projected_dist_on_feature_m|projected_lat|projected_lon|highway|name_osm|route_role|selected|match_score|overlap_ratio|min_dist_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0a_control_points_osm_projection\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b\qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_control_points_used.csv,True,3,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0a_control_points_osm_projection\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,True,45,control_id|control_role|phase|name|required|route_action|note|order|lat|lon|candidate_rank|offset_to_osm_m|projection_ok|matched_id_text|matched_id_cols|feature_index|part_index|projected_dist_on_feature_m|projected_lat|projected_lon|highway|name_osm|route_role|selected|match_score|overlap_ratio|min_dist_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
