relative_path,name,type,depth,size_bytes,modified_time,suffix
outputs/activity_points_osm_nlsc_corrected_v1,activity_points_osm_nlsc_corrected_v1,dir,2,,2026-05-30 21:27:15,
outputs/activity_points_osm_nlsc_corrected_v1_interactive_profile_qa_noplotly,activity_points_osm_nlsc_corrected_v1_interactive_profile_qa_noplotly,dir,2,,2026-05-30 21:51:30,
outputs/activity_points_osm_nlsc_corrected_v1_linked_qa,activity_points_osm_nlsc_corrected_v1_linked_qa,dir,2,,2026-05-30 22:00:34,
outputs/activity_points_osm_nlsc_corrected_v1_qa_map,activity_points_osm_nlsc_corrected_v1_qa_map,dir,2,,2026-05-30 21:35:05,
outputs/activity_points_osm_nlsc_corrected_v1_qa_map_light,activity_points_osm_nlsc_corrected_v1_qa_map_light,dir,2,,2026-05-30 21:41:23,
outputs/activity_points_osm_nlsc_corrected_v1b,activity_points_osm_nlsc_corrected_v1b,dir,2,,2026-05-30 22:10:25,
outputs/activity_points_osm_nlsc_corrected_v1b_linked_qa,activity_points_osm_nlsc_corrected_v1b_linked_qa,dir,2,,2026-05-30 22:16:09,
outputs/activity_points_osm_nlsc_corrected_v1b_offset10,activity_points_osm_nlsc_corrected_v1b_offset10,dir,2,,2026-05-30 22:22:23,
outputs/activity_points_osm_nlsc_corrected_v1b_offset10_linked_qa,activity_points_osm_nlsc_corrected_v1b_offset10_linked_qa,dir,2,,2026-05-30 22:22:32,
outputs/activity_points_osm_nlsc_corrected_v1b_offset15,activity_points_osm_nlsc_corrected_v1b_offset15,dir,2,,2026-05-30 22:19:58,
outputs/activity_points_osm_nlsc_corrected_v1b_offset15_linked_qa,activity_points_osm_nlsc_corrected_v1b_offset15_linked_qa,dir,2,,2026-05-30 22:20:14,
outputs/activity_points_osm_nlsc_corrected_v1b_offset3,activity_points_osm_nlsc_corrected_v1b_offset3,dir,2,,2026-05-30 22:54:59,
outputs/activity_points_osm_nlsc_corrected_v1b_offset5,activity_points_osm_nlsc_corrected_v1b_offset5,dir,2,,2026-05-30 22:24:11,
outputs/activity_points_osm_nlsc_corrected_v1b_offset5_linked_qa,activity_points_osm_nlsc_corrected_v1b_offset5_linked_qa,dir,2,,2026-05-30 22:24:23,
outputs/activity_points_osm_nlsc_corrected_v1c_linked_qa,activity_points_osm_nlsc_corrected_v1c_linked_qa,dir,2,,2026-05-30 22:42:20,
outputs/activity_points_osm_nlsc_corrected_v1c_refit_mainline,activity_points_osm_nlsc_corrected_v1c_refit_mainline,dir,2,,2026-05-30 22:40:14,
outputs/activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3,activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3,dir,2,,2026-05-30 22:55:07,
outputs/activity_points_osm_nlsc_corrected_v1c_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1c_refit_target_qa_offset3,dir,2,,2026-05-30 22:57:48,
outputs/activity_points_osm_nlsc_corrected_v1d_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1d_refit_target_qa_offset3,dir,2,,2026-05-30 23:14:28,
outputs/activity_points_osm_nlsc_corrected_v1d_summit_aware_refit_offset3,activity_points_osm_nlsc_corrected_v1d_summit_aware_refit_offset3,dir,2,,2026-05-30 23:11:18,
outputs/activity_points_osm_nlsc_corrected_v1e_orange_segment_diagnosis,activity_points_osm_nlsc_corrected_v1e_orange_segment_diagnosis,dir,2,,2026-05-30 23:25:36,
outputs/activity_points_osm_nlsc_corrected_v1e_recover_isolated_orange_offset3,activity_points_osm_nlsc_corrected_v1e_recover_isolated_orange_offset3,dir,2,,2026-05-30 23:28:06,
outputs/activity_points_osm_nlsc_corrected_v1e_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1e_refit_target_qa_offset3,dir,2,,2026-05-30 23:31:25,
outputs/activity_points_osm_nlsc_corrected_v1f_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1f_refit_target_qa_offset3,dir,2,,2026-05-30 23:48:44,
outputs/activity_points_osm_nlsc_corrected_v1f_route_corridor_diagnosis,activity_points_osm_nlsc_corrected_v1f_route_corridor_diagnosis,dir,2,,2026-05-30 23:40:17,
outputs/activity_points_osm_nlsc_corrected_v1f_safe_corridor_recovery_offset3,activity_points_osm_nlsc_corrected_v1f_safe_corridor_recovery_offset3,dir,2,,2026-05-30 23:45:43,
outputs/activity_points_osm_nlsc_corrected_v1g_final_consolidated,activity_points_osm_nlsc_corrected_v1g_final_consolidated,dir,2,,2026-05-31 08:21:07,
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_offset3,activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_offset3,dir,2,,2026-05-31 00:44:22,
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_reviewed,activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_reviewed,dir,2,,2026-05-31 06:08:06,
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis,activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis,dir,2,,2026-05-31 00:32:11,
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis_batch,activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis_batch,dir,2,,2026-05-31 05:55:37,
outputs/activity_points_osm_nlsc_corrected_v1h_remaining_orange_block_diagnosis,activity_points_osm_nlsc_corrected_v1h_remaining_orange_block_diagnosis,dir,2,,2026-05-31 21:12:36,
outputs/activity_points_osm_nlsc_corrected_v1h_reviewed_recovery,activity_points_osm_nlsc_corrected_v1h_reviewed_recovery,dir,2,,2026-05-31 11:05:59,
outputs/activity_points_osm_nlsc_corrected_v1h_reviewed_recovery_dryrun,activity_points_osm_nlsc_corrected_v1h_reviewed_recovery_dryrun,dir,2,,2026-05-31 10:31:14,
outputs/activity_standardized,activity_standardized,dir,2,,2026-05-27 07:40:41,
outputs/adaptive_speed_threshold_qa_v1,adaptive_speed_threshold_qa_v1,dir,2,,2026-05-30 06:43:57,
outputs/ai_engineer_handoff_dataset_v1,ai_engineer_handoff_dataset_v1,dir,2,,2026-06-01 01:12:59,
outputs/contour_enriched_output,contour_enriched_output,dir,2,,2026-04-28 20:33:48,
outputs/ia1_convergence_audit_v1_3b,ia1_convergence_audit_v1_3b,dir,2,,2026-06-01 17:17:34,
outputs/ib0_gpx_osm_match_output,ib0_gpx_osm_match_output,dir,2,,2026-05-23 12:35:11,
outputs/ib0_route_axis_v1_3b_convergence_audit,ib0_route_axis_v1_3b_convergence_audit,dir,2,,2026-06-01 20:26:53,
outputs/ib0_route_match,ib0_route_match,dir,2,,2026-05-31 23:38:35,
outputs/ib0_route_match_convergence_audit_v1_3b,ib0_route_match_convergence_audit_v1_3b,dir,2,,2026-06-01 17:21:42,
outputs/ib0_route_match_v1_1,ib0_route_match_v1_1,dir,2,,2026-05-27 07:08:32,
outputs/ib0a2_route_axis_anchor_component_qa,ib0a2_route_axis_anchor_component_qa,dir,2,,2026-06-01 09:27:40,
outputs/ib0a_control_points_osm_projection,ib0a_control_points_osm_projection,dir,2,,2026-06-01 00:58:32,
outputs/ib0a_control_points_osm_projection_v1_1,ib0a_control_points_osm_projection_v1_1,dir,2,,2026-05-28 23:04:25,
outputs/ib0a_control_points_projection_convergence_audit_v1_3b,ib0a_control_points_projection_convergence_audit_v1_3b,dir,2,,2026-06-01 17:39:05,
outputs/ib0a_prune,ib0a_prune,dir,2,,2026-05-23 16:25:06,
outputs/ib0b_mainline,ib0b_mainline,dir,2,,2026-05-26 23:49:07,
outputs/ib0b_mainline_control_point_constrained,ib0b_mainline_control_point_constrained,dir,2,,2026-05-28 22:58:51,
outputs/ib0b_mainline_control_point_constrained_v1_1,ib0b_mainline_control_point_constrained_v1_1,dir,2,,2026-05-28 23:13:00,
outputs/ib0b_mainline_forced_required_way_test,ib0b_mainline_forced_required_way_test,dir,2,,2026-05-28 23:52:21,
outputs/ib0b_mainline_required_way_qa,ib0b_mainline_required_way_qa,dir,2,,2026-05-28 21:56:55,
outputs/ib0b_mainline_route_definition_v1_3b,ib0b_mainline_route_definition_v1_3b,dir,2,,2026-06-01 07:25:59,
outputs/ib0b_mainline_route_definition_v1_3b_anchor_only_retry,ib0b_mainline_route_definition_v1_3b_anchor_only_retry,dir,2,,2026-06-01 07:29:44,
outputs/ib0b_mainline_route_definition_v1_3b_control_points_only,ib0b_mainline_route_definition_v1_3b_control_points_only,dir,2,,2026-06-01 10:04:05,
outputs/ib0b_mainline_route_definition_v1_3b_control_points_only_snap20,ib0b_mainline_route_definition_v1_3b_control_points_only_snap20,dir,2,,2026-06-01 07:45:42,
outputs/ib0b_mainline_v1_1,ib0b_mainline_v1_1,dir,2,,2026-05-27 07:08:43,
outputs/ib0b_output,ib0b_output,dir,2,,2026-05-11 23:53:21,
outputs/ib0b_route_definition_inputs_v1_3b,ib0b_route_definition_inputs_v1_3b,dir,2,,2026-06-01 07:04:27,
outputs/ib0c_anchor,ib0c_anchor,dir,2,,2026-05-31 23:59:10,
outputs/ib0c_anchor_convergence_audit_v1_3b,ib0c_anchor_convergence_audit_v1_3b,dir,2,,2026-06-01 17:36:18,
outputs/ib0c_anchor_output,ib0c_anchor_output,dir,2,,2026-05-23 13:01:21,
outputs/ib0d_convergence_audit_v1_3b_reviewed_pass_warn,ib0d_convergence_audit_v1_3b_reviewed_pass_warn,dir,2,,2026-06-01 20:23:18,
outputs/ib0d_output,ib0d_output,dir,2,,2026-05-12 00:26:08,
outputs/ib0d_trimmed_mainline,ib0d_trimmed_mainline,dir,2,,2026-05-26 23:49:11,
outputs/ib0d_trimmed_mainline_forced_required_way_test,ib0d_trimmed_mainline_forced_required_way_test,dir,2,,2026-05-28 23:54:37,
outputs/ib0d_trimmed_mainline_v1_1,ib0d_trimmed_mainline_v1_1,dir,2,,2026-05-27 07:08:53,
outputs/ib0d_trimmed_mainline_v1_3b_control_points_only,ib0d_trimmed_mainline_v1_3b_control_points_only,dir,2,,2026-06-01 10:39:33,
outputs/ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa,ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa,dir,2,,2026-06-01 11:08:17,
outputs/ib1_contour_features,ib1_contour_features,dir,2,,2026-05-23 15:17:19,
outputs/ib1_output,ib1_output,dir,2,,2026-04-23 09:17:20,
outputs/ib1_route_profile,ib1_route_profile,dir,2,,2026-05-26 23:49:45,
outputs/ib1_route_profile_forced_required_way_test,ib1_route_profile_forced_required_way_test,dir,2,,2026-05-28 23:56:23,
outputs/ib1_route_profile_output,ib1_route_profile_output,dir,2,,2026-04-28 14:52:25,
outputs/ib1_route_profile_v1_1,ib1_route_profile_v1_1,dir,2,,2026-05-27 07:09:05,
outputs/ib1_route_profile_v1_3b_contract_qa,ib1_route_profile_v1_3b_contract_qa,dir,2,,2026-06-01 11:35:51,
outputs/ib1_v1_3b_contract_qa_pipeline_summary,ib1_v1_3b_contract_qa_pipeline_summary,dir,2,,2026-06-01 20:42:45,
outputs/ib1a_route_elevation_profile_output,ib1a_route_elevation_profile_output,dir,2,,2026-05-12 08:00:25,
outputs/ib1b_route_profile_attribute_output,ib1b_route_profile_attribute_output,dir,2,,2026-05-12 17:59:37,
outputs/ib1c_osm_semantic_audit,ib1c_osm_semantic_audit,dir,2,,2026-05-26 23:51:54,
outputs/ib1c_osm_semantic_audit_forced_required_way_test,ib1c_osm_semantic_audit_forced_required_way_test,dir,2,,2026-05-28 23:59:59,
outputs/ib1c_osm_semantic_audit_v1_1,ib1c_osm_semantic_audit_v1_1,dir,2,,2026-05-27 07:09:46,
outputs/ib1c_osm_semantic_audit_v1_3b_contract_qa,ib1c_osm_semantic_audit_v1_3b_contract_qa,dir,2,,2026-06-01 11:36:06,
outputs/ib1c_osm_semantic_risk,ib1c_osm_semantic_risk,dir,2,,2026-05-26 23:51:56,
outputs/ib1c_osm_semantic_risk_forced_required_way_test,ib1c_osm_semantic_risk_forced_required_way_test,dir,2,,2026-05-29 00:00:36,
outputs/ib1c_osm_semantic_risk_plot,ib1c_osm_semantic_risk_plot,dir,2,,2026-05-23 23:53:53,
outputs/ib1c_osm_semantic_risk_v1_1,ib1c_osm_semantic_risk_v1_1,dir,2,,2026-05-27 07:09:36,
outputs/ib1c_osm_semantic_risk_v1_3b_contract_qa,ib1c_osm_semantic_risk_v1_3b_contract_qa,dir,2,,2026-06-01 11:36:07,
outputs/ib1c_route_profile_semantic_output,ib1c_route_profile_semantic_output,dir,2,,2026-05-10 20:08:30,
outputs/ib1c_route_profile_semantics,ib1c_route_profile_semantics,dir,2,,2026-05-26 23:50:53,
outputs/ib1c_route_profile_semantics_forced_required_way_test,ib1c_route_profile_semantics_forced_required_way_test,dir,2,,2026-05-28 23:58:52,
outputs/ib1c_route_profile_semantics_v1_1,ib1c_route_profile_semantics_v1_1,dir,2,,2026-05-27 07:09:20,
outputs/ib1c_route_profile_semantics_v1_3b_contract_qa,ib1c_route_profile_semantics_v1_3b_contract_qa,dir,2,,2026-06-01 11:35:54,
outputs/ib1c_semantic_risk_mapping_coverage_audit_v1_3b,ib1c_semantic_risk_mapping_coverage_audit_v1_3b,dir,2,,2026-06-01 12:16:08,
outputs/ib1c_semantic_risk_mapping_coverage_audit_v1_3b_mapping_v1_2_updated,ib1c_semantic_risk_mapping_coverage_audit_v1_3b_mapping_v1_2_updated,dir,2,,2026-06-01 13:35:12,
outputs/ib1d_route_profile_semantic_plot_output,ib1d_route_profile_semantic_plot_output,dir,2,,2026-04-28 16:31:29,
outputs/ib1e_osm_nlsc_terrain_risk,ib1e_osm_nlsc_terrain_risk,dir,2,,2026-05-25 20:35:46,
outputs/ib1e_osm_nlsc_terrain_risk_plot,ib1e_osm_nlsc_terrain_risk_plot,dir,2,,2026-05-26 23:52:16,
outputs/ib1e_osm_nlsc_terrain_risk_plot_forced_required_way_test,ib1e_osm_nlsc_terrain_risk_plot_forced_required_way_test,dir,2,,2026-05-29 00:14:26,
outputs/ib1e_osm_nlsc_terrain_risk_plot_v1_3b_contract_qa,ib1e_osm_nlsc_terrain_risk_plot_v1_3b_contract_qa,dir,2,,2026-06-01 11:36:14,
outputs/ib1e_osm_terrain_risk_plot,ib1e_osm_terrain_risk_plot,dir,2,,2026-05-24 00:45:38,
outputs/ib1e_route_profile_contour_window_terrain,ib1e_route_profile_contour_window_terrain,dir,2,,2026-05-26 23:52:09,
outputs/ib1e_route_profile_contour_window_terrain_forced_required_way_test,ib1e_route_profile_contour_window_terrain_forced_required_way_test,dir,2,,2026-05-29 00:02:12,
outputs/ib1e_route_profile_contour_window_terrain_v1_1,ib1e_route_profile_contour_window_terrain_v1_1,dir,2,,2026-05-27 07:10:19,
outputs/ib1e_route_profile_contour_window_terrain_v1_3b_contract_qa,ib1e_route_profile_contour_window_terrain_v1_3b_contract_qa,dir,2,,2026-06-01 11:36:11,
outputs/ib1e_route_profile_nlsc_output,ib1e_route_profile_nlsc_output,dir,2,,2026-04-28 20:40:44,
outputs/ib1e_route_profile_nlsc_terrain,ib1e_route_profile_nlsc_terrain,dir,2,,2026-05-24 00:16:48,
outputs/ib1g_contour_window_features,ib1g_contour_window_features,dir,2,,2026-05-26 23:52:02,
outputs/ib1g_contour_window_features_forced_required_way_test,ib1g_contour_window_features_forced_required_way_test,dir,2,,2026-05-29 00:01:10,
outputs/ib1g_contour_window_features_v1_1,ib1g_contour_window_features_v1_1,dir,2,,2026-05-27 07:09:56,
outputs/ib1g_contour_window_features_v1_3b_contract_qa,ib1g_contour_window_features_v1_3b_contract_qa,dir,2,,2026-06-01 11:36:10,
outputs/ib1g_mainline_contour_output,ib1g_mainline_contour_output,dir,2,,2026-04-28 21:26:10,
outputs/ib1g_v2_output,ib1g_v2_output,dir,2,,2026-05-12 10:24:48,
outputs/ib1h_contour_window_profile_output,ib1h_contour_window_profile_output,dir,2,,2026-05-06 18:03:36,
outputs/ib1h_v2_contour_window_profile_output,ib1h_v2_contour_window_profile_output,dir,2,,2026-05-12 16:57:24,
outputs/ib1i_gpx_vs_contour_validation,ib1i_gpx_vs_contour_validation,dir,2,,2026-05-24 19:06:51,
outputs/ib1i_validation_output,ib1i_validation_output,dir,2,,2026-04-28 21:45:09,
outputs/ib2_route_risk,ib2_route_risk,dir,2,,2026-05-23 15:17:19,
outputs/ib2_route_risk_output,ib2_route_risk_output,dir,2,,2026-04-28 17:18:11,
outputs/ib2_v2_route_risk,ib2_v2_route_risk,dir,2,,2026-05-26 23:52:31,
outputs/ib2_v2_route_risk_output,ib2_v2_route_risk_output,dir,2,,2026-04-28 22:35:09,
outputs/ib2_v2_route_risk_v1_1,ib2_v2_route_risk_v1_1,dir,2,,2026-05-27 07:10:30,
outputs/ib2_v2_route_risk_v1_3b_contract_qa,ib2_v2_route_risk_v1_3b_contract_qa,dir,2,,2026-06-01 13:53:10,
outputs/ib2_v3_route_segment_risk,ib2_v3_route_segment_risk,dir,2,,2026-05-26 23:52:36,
outputs/ib2_v3_route_segment_risk_output,ib2_v3_route_segment_risk_output,dir,2,,2026-04-29 09:01:47,
outputs/ib2a_risk_profile_output,ib2a_risk_profile_output,dir,2,,2026-05-06 18:04:00,
outputs/ib2a_route_risk_profile,ib2a_route_risk_profile,dir,2,,2026-05-26 23:52:33,
outputs/ib2b_segment_risk_profile_output,ib2b_segment_risk_profile_output,dir,2,,2026-05-06 18:04:04,
outputs/ib2b_v2_segment_risk_profile,ib2b_v2_segment_risk_profile,dir,2,,2026-05-26 23:52:37,
outputs/ib2b_v2_segment_risk_profile_output,ib2b_v2_segment_risk_profile_output,dir,2,,2026-05-06 18:04:09,
outputs/ib2c_route_risk_map_2d,ib2c_route_risk_map_2d,dir,2,,2026-05-26 23:52:39,
outputs/ib2c_route_risk_map_output,ib2c_route_risk_map_output,dir,2,,2026-04-30 16:40:19,
outputs/ib2d_route_risk_offline_map,ib2d_route_risk_offline_map,dir,2,,2026-05-26 23:52:53,
outputs/ib2d_route_risk_offline_map_forced_required_way_test,ib2d_route_risk_offline_map_forced_required_way_test,dir,2,,2026-05-29 00:18:07,
outputs/ib2d_route_risk_offline_map_output,ib2d_route_risk_offline_map_output,dir,2,,2026-05-04 21:44:52,
outputs/ib2d_route_risk_offline_map_v1_1,ib2d_route_risk_offline_map_v1_1,dir,2,,2026-05-27 07:10:44,
outputs/ib2d_route_risk_offline_map_v1_3b_contract_qa,ib2d_route_risk_offline_map_v1_3b_contract_qa,dir,2,,2026-06-01 11:51:02,
outputs/ib2e_route_challenge_index,ib2e_route_challenge_index,dir,2,,2026-05-26 23:55:39,
outputs/ib3_activity,ib3_activity,dir,2,,2026-05-23 15:17:20,
outputs/ib3_batch_runs,ib3_batch_runs,dir,2,,2026-05-24 20:54:10,
outputs/ib3_environment_output,ib3_environment_output,dir,2,,2026-05-04 23:01:38,
outputs/ib3_weather_output,ib3_weather_output,dir,2,,2026-05-02 05:36:13,
outputs/ib3a0_activity_mainline_screening,ib3a0_activity_mainline_screening,dir,2,,2026-05-28 20:14:24,
outputs/ib3a0_activity_mainline_screening_after_forced_route,ib3a0_activity_mainline_screening_after_forced_route,dir,2,,2026-05-29 07:06:26,
outputs/ib3a2_on_route_activity_filter,ib3a2_on_route_activity_filter,dir,2,,2026-05-27 11:21:30,
outputs/ib3a2_on_route_activity_filter_v3,ib3a2_on_route_activity_filter_v3,dir,2,,2026-05-28 11:30:50,
outputs/ib3a2_on_route_activity_filter_v4b,ib3a2_on_route_activity_filter_v4b,dir,2,,2026-05-28 17:41:03,
outputs/ib3a2_on_route_activity_filter_v4b_after_forced_route,ib3a2_on_route_activity_filter_v4b_after_forced_route,dir,2,,2026-05-29 07:11:58,
outputs/ib3a2_on_route_activity_filter_v4b_after_forced_route_smoketest,ib3a2_on_route_activity_filter_v4b_after_forced_route_smoketest,dir,2,,2026-05-29 17:58:21,
outputs/ib3a2_on_route_activity_filter_v4b_after_forced_route_smoketest_batch10,ib3a2_on_route_activity_filter_v4b_after_forced_route_smoketest_batch10,dir,2,,2026-05-29 18:02:58,
outputs/ib3a2_on_route_activity_filter_v4b_after_forced_route_smoketest_batch14,ib3a2_on_route_activity_filter_v4b_after_forced_route_smoketest_batch14,dir,2,,2026-05-29 18:53:10,
outputs/ib3a_mapmatched_activity,ib3a_mapmatched_activity,dir,2,,2026-05-24 20:09:14,
outputs/ib3a_mapmatched_activity_output,ib3a_mapmatched_activity_output,dir,2,,2026-04-29 09:41:15,
outputs/ib3a_mapmatched_standardized_activity,ib3a_mapmatched_standardized_activity,dir,2,,2026-05-27 07:55:06,
outputs/ib3a_mapmatched_standardized_activity_debug_maps,ib3a_mapmatched_standardized_activity_debug_maps,dir,2,,2026-05-27 09:10:13,
outputs/ib3a_sequence_mapmatched_activity,ib3a_sequence_mapmatched_activity,dir,2,,2026-05-28 06:56:33,
outputs/ib3a_sequence_mapmatched_activity_v2,ib3a_sequence_mapmatched_activity_v2,dir,2,,2026-05-28 10:12:30,
outputs/ib3a_sequence_mapmatched_activity_v3,ib3a_sequence_mapmatched_activity_v3,dir,2,,2026-05-28 10:18:53,
outputs/ib3a_sequence_mapmatched_activity_v4,ib3a_sequence_mapmatched_activity_v4,dir,2,,2026-05-28 17:21:47,
outputs/ib3a_sequence_mapmatched_activity_v4b,ib3a_sequence_mapmatched_activity_v4b,dir,2,,2026-05-28 17:30:27,
outputs/ib3a_sequence_mapmatched_activity_v4b_after_forced_route,ib3a_sequence_mapmatched_activity_v4b_after_forced_route,dir,2,,2026-05-29 07:07:26,
outputs/ib3a_sequence_mapmatched_activity_v4b_after_forced_route_smoketest,ib3a_sequence_mapmatched_activity_v4b_after_forced_route_smoketest,dir,2,,2026-05-29 17:56:25,
outputs/ib3a_sequence_mapmatched_activity_v4b_after_forced_route_smoketest_batch10,ib3a_sequence_mapmatched_activity_v4b_after_forced_route_smoketest_batch10,dir,2,,2026-05-29 18:01:28,
outputs/ib3a_sequence_mapmatched_activity_v4b_after_forced_route_smoketest_batch14,ib3a_sequence_mapmatched_activity_v4b_after_forced_route_smoketest_batch14,dir,2,,2026-05-29 18:52:20,
outputs/ib3a_sequence_mapmatched_activity_v4c_no_post_summit_phase_force,ib3a_sequence_mapmatched_activity_v4c_no_post_summit_phase_force,dir,2,,2026-05-29 08:11:17,
outputs/ib3b2_activity_profile_1d_2d,ib3b2_activity_profile_1d_2d,dir,2,,2026-05-27 18:48:09,
outputs/ib3b2_activity_profile_1d_2d_sequence,ib3b2_activity_profile_1d_2d_sequence,dir,2,,2026-05-28 06:59:46,
outputs/ib3b2_activity_profile_1d_2d_v3,ib3b2_activity_profile_1d_2d_v3,dir,2,,2026-05-28 16:46:28,
outputs/ib3b2_activity_profile_1d_2d_v3_fullaxis,ib3b2_activity_profile_1d_2d_v3_fullaxis,dir,2,,2026-05-28 17:06:50,
outputs/ib3b2_activity_profile_1d_2d_v4b,ib3b2_activity_profile_1d_2d_v4b,dir,2,,2026-05-28 17:52:50,
outputs/ib3b2_activity_profile_1d_2d_v4b_after_forced_route,ib3b2_activity_profile_1d_2d_v4b_after_forced_route,dir,2,,2026-05-29 07:13:56,
outputs/ib3b2_activity_profile_1d_2d_with_events_v1,ib3b2_activity_profile_1d_2d_with_events_v1,dir,2,,2026-05-29 20:53:51,
outputs/ib3b_activity_environment_segments,ib3b_activity_environment_segments,dir,2,,2026-05-27 08:13:24,
outputs/ib3b_mapmatched_activity_profile,ib3b_mapmatched_activity_profile,dir,2,,2026-05-24 20:40:18,
outputs/ib3b_mapmatched_activity_profile_output,ib3b_mapmatched_activity_profile_output,dir,2,,2026-05-06 18:02:37,
