activity_id_short,participant_id,activity_history_primary_label,metric,metric_value,threshold_reference,threshold_value,attention_direction,numeric_attention_triggered,numeric_attention_flag,numeric_attention_domain,threshold_distance_ratio,metric_note,interpretation_boundary
23_1,23,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,behavior_weather_context_review_required_ratio,0.53012,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75,weather_behavior_overlap,0.012046,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
23_1,23,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,uphill_high_route_load_ratio,0.192771,p75,0.148148,higher_is_attention,True,NUMERIC_HIGH_UPHILL_LOAD_EXPOSURE_GE_P75_CONTEXT_ONLY,route_load_exposure_context,0.301206,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,speed_mps_median_median,0.598755,p25,0.590467,lower_is_attention,False,NOT_TRIGGERED,movement_degradation,,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,low_speed_ratio_avg,0.260677,p75,0.237735,higher_is_attention,True,NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75,movement_degradation,0.096502,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,stopped_ratio_avg,0.009183,p75,0.01661,higher_is_attention,False,NOT_TRIGGERED,movement_degradation,,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,route_load_behavior_candidate_window_ratio,0.47619,p75,0.52381,higher_is_attention,False,NOT_TRIGGERED,route_load_behavior,,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,behavior_weather_context_review_required_ratio,0.47619,p75,0.52381,higher_is_attention,False,NOT_TRIGGERED,weather_behavior_overlap,,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,uphill_high_route_load_ratio,0.083333,p75,0.148148,higher_is_attention,False,NOT_TRIGGERED,route_load_exposure_context,,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,speed_mps_median_median,0.634813,p25,0.590467,lower_is_attention,False,NOT_TRIGGERED,movement_degradation,,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,low_speed_ratio_avg,0.225504,p75,0.237735,higher_is_attention,False,NOT_TRIGGERED,movement_degradation,,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,stopped_ratio_avg,0.022764,p75,0.01661,higher_is_attention,True,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.3705,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,route_load_behavior_candidate_window_ratio,0.4625,p75,0.52381,higher_is_attention,False,NOT_TRIGGERED,route_load_behavior,,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,behavior_weather_context_review_required_ratio,0.4625,p75,0.52381,higher_is_attention,False,NOT_TRIGGERED,weather_behavior_overlap,,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,uphill_high_route_load_ratio,0.1375,p75,0.148148,higher_is_attention,False,NOT_TRIGGERED,route_load_exposure_context,,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,speed_mps_median_median,0.54872,p25,0.590467,lower_is_attention,True,NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation,0.070702,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,low_speed_ratio_avg,0.066292,p75,0.237735,higher_is_attention,False,NOT_TRIGGERED,movement_degradation,,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,stopped_ratio_avg,3.2e-05,p75,0.01661,higher_is_attention,False,NOT_TRIGGERED,movement_degradation,,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,route_load_behavior_candidate_window_ratio,0.555556,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75,route_load_behavior,0.060606,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,behavior_weather_context_review_required_ratio,0.555556,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75,weather_behavior_overlap,0.060606,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,uphill_high_route_load_ratio,0.283951,p75,0.148148,higher_is_attention,True,NUMERIC_HIGH_UPHILL_LOAD_EXPOSURE_GE_P75_CONTEXT_ONLY,route_load_exposure_context,0.916671,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,speed_mps_median_median,0.497648,p25,0.590467,lower_is_attention,True,NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation,0.157196,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,low_speed_ratio_avg,0.32626,p75,0.237735,higher_is_attention,True,NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75,movement_degradation,0.372368,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,stopped_ratio_avg,0.030715,p75,0.01661,higher_is_attention,True,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.849187,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,route_load_behavior_candidate_window_ratio,0.547619,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75,route_load_behavior,0.045454,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,behavior_weather_context_review_required_ratio,0.547619,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75,weather_behavior_overlap,0.045454,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,uphill_high_route_load_ratio,0.130952,p75,0.148148,higher_is_attention,False,NOT_TRIGGERED,route_load_exposure_context,,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,speed_mps_median_median,0.450511,p25,0.590467,lower_is_attention,True,NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation,0.237026,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,low_speed_ratio_avg,0.355164,p75,0.237735,higher_is_attention,True,NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75,movement_degradation,0.493949,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,stopped_ratio_avg,0.037286,p75,0.01661,higher_is_attention,True,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,1.244792,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,route_load_behavior_candidate_window_ratio,0.559524,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75,route_load_behavior,0.068181,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,behavior_weather_context_review_required_ratio,0.559524,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75,weather_behavior_overlap,0.068181,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,uphill_high_route_load_ratio,0.119048,p75,0.148148,higher_is_attention,False,NOT_TRIGGERED,route_load_exposure_context,,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,speed_mps_median_median,0.995302,p25,0.590467,lower_is_attention,False,NOT_TRIGGERED,movement_degradation,,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,low_speed_ratio_avg,0.144703,p75,0.237735,higher_is_attention,False,NOT_TRIGGERED,movement_degradation,,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,stopped_ratio_avg,0.01661,p75,0.01661,higher_is_attention,True,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.0,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,route_load_behavior_candidate_window_ratio,0.275,p75,0.52381,higher_is_attention,False,NOT_TRIGGERED,route_load_behavior,,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,behavior_weather_context_review_required_ratio,0.275,p75,0.52381,higher_is_attention,False,NOT_TRIGGERED,weather_behavior_overlap,,Behavior-weather context overlap at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,uphill_high_route_load_ratio,0.125,p75,0.148148,higher_is_attention,False,NOT_TRIGGERED,route_load_exposure_context,,"High uphill-load exposure at or above group p75. Context only, not strain by itself.","Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,speed_mps_median_median,0.511706,p25,0.590467,lower_is_attention,True,NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation,0.133388,Median speed at or below group p25.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,low_speed_ratio_avg,0.319905,p75,0.237735,higher_is_attention,True,NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75,movement_degradation,0.345637,Low-speed ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,stopped_ratio_avg,0.028583,p75,0.01661,higher_is_attention,True,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.720831,Stopped ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,route_load_behavior_candidate_window_ratio,0.52381,p75,0.52381,higher_is_attention,True,NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75,route_load_behavior,0.0,Route-load behavior candidate ratio at or above group p75.,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
